OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
0.054244,0.150193,0.164116,5.981311,7.420965,0.484755,0.922281,1.962887,7.638301,7.395254,2
0.052130,0.139052,0.172294,5.566346,7.976393,0.327129,1.940496,2.242935,7.599591,7.267333,2
0.050884,0.150506,0.198708,5.900247,31.046008,0.384426,3.357000,2.541012,7.724294,7.309859,2
0.039886,0.135086,0.254017,5.586878,17.099657,0.614644,3.028963,2.487040,7.755363,7.360207,3
0.050059,0.141348,0.151673,5.429712,7.325651,0.302863,1.944101,2.433907,7.890833,7.521785,3
0.062996,0.154995,0.186192,6.113636,7.636444,0.471420,1.218350,2.476564,7.923936,7.541983,3
0.050991,0.146215,0.180505,6.046630,7.763468,0.425173,1.100381,2.058939,7.523322,7.248115,3
0.051576,0.142126,0.150420,5.790382,7.887740,0.316129,1.026808,2.440390,7.243006,6.827637,3
0.057215,0.149651,0.205816,5.797727,7.997270,0.403985,0.973075,2.477711,7.172787,6.745305,3
0.053762,0.149456,0.161128,6.069083,7.642688,0.231958,0.937991,1.977878,7.090016,6.819490,3
0.051135,0.143157,0.171861,5.917237,7.165610,0.252624,0.907055,2.150348,7.037721,6.714492,3
0.053610,0.144523,0.180511,5.725125,7.420403,0.333777,0.910139,2.575799,7.194174,6.730841,3
0.071407,0.153240,0.152861,5.897514,7.526117,0.340355,0.922094,2.261379,7.362849,7.020958,3
0.079830,0.150827,0.189750,5.723948,7.367115,0.387133,0.911144,2.119284,6.922195,6.602865,3
0.067763,0.153312,0.152887,5.862029,7.088005,0.158822,0.921358,2.335689,6.625291,6.212910,3
0.058507,0.154652,0.148888,5.787853,7.132542,0.212822,0.930483,2.265377,6.902238,6.531919,3
0.053241,0.150254,0.178597,5.085254,7.244535,0.333054,0.931849,2.939198,7.376345,6.776476,3
0.057758,0.151822,0.191969,6.189832,7.495023,0.320254,0.947609,2.348695,7.133239,6.747935,3
0.060767,0.154576,0.191236,5.800853,7.587818,0.378321,0.943964,2.690344,6.882274,6.348407,3
0.054762,0.156211,0.158788,5.301726,7.430400,0.259016,0.935034,2.803214,7.669814,7.148077,3
0.059646,0.147687,0.183873,5.570949,7.483347,0.340335,0.950322,2.272517,8.176708,7.869124,3
0.067169,0.158426,0.163198,6.178322,7.429501,0.388037,0.927154,2.044111,8.401879,8.166222,3
0.076643,0.147715,0.148055,6.186189,7.549055,0.278093,0.898395,2.297872,8.768496,8.479900,3
0.059262,0.150405,0.185922,5.609828,7.645448,0.221138,0.924119,2.277572,8.198868,7.879323,3
0.049294,0.144310,0.160958,5.470409,7.226917,0.240514,0.930289,2.685072,8.163655,7.717765,3
0.068388,0.141878,0.164490,6.219124,7.054132,0.246616,0.921737,2.403955,8.489930,8.157556,3
0.072331,0.150202,0.178483,5.645146,7.086759,0.281182,0.897365,2.721816,8.330069,7.884323,3
0.066942,0.152283,0.143944,5.613050,7.593979,0.180063,0.884074,2.516861,7.348491,6.913881,3
0.060591,0.147913,0.144062,5.732931,7.844587,0.212543,0.904728,2.482226,7.199629,6.763505,3
0.079383,0.152103,0.169669,5.580535,7.588556,0.285797,0.904842,2.780064,7.582791,7.066874,3
0.084646,0.151278,0.168179,5.568461,7.514373,0.281339,0.876471,2.734259,7.694672,7.207206,3
0.069182,0.152706,0.217463,5.779737,7.569467,0.371698,0.852697,2.823867,7.680916,7.157779,3
0.061784,0.146412,0.151512,5.981304,7.715368,0.207269,0.852296,2.726272,8.163979,7.707070,3
0.059311,0.155687,0.153432,6.220329,7.714617,0.285528,0.851786,2.205553,8.755189,8.479885,3
0.068720,0.148076,0.149873,5.967981,7.636463,0.156957,0.843226,2.429995,9.006838,8.683614,3
0.056385,0.142979,0.155042,5.838581,7.571589,0.495212,0.843912,2.331859,8.901786,8.605632,3
0.059832,0.143556,0.178377,5.327147,7.513282,0.246494,0.855614,2.979437,9.342031,8.862555,3
0.072395,0.151772,0.155254,6.008824,7.476647,0.243716,0.859471,2.551914,9.797315,9.465502,3
0.078359,0.160874,0.161735,5.899405,7.730466,0.265937,0.836900,2.392750,9.281517,8.984827,3
0.063240,0.157820,0.162629,5.406055,7.679482,0.449697,0.816490,2.765991,7.784505,7.280369,3
0.068930,0.154786,0.150591,5.303957,7.562677,0.240915,0.836228,2.928535,8.595306,8.095877,3
0.072962,0.157424,0.156032,5.974675,7.310840,0.214608,0.861316,2.529877,8.467286,8.096746,3
0.178484,0.216460,0.150598,5.935799,7.215757,0.133498,0.852374,2.913240,8.874947,8.401181,3
0.197472,0.215468,0.170063,5.023885,7.099333,0.203982,0.898825,3.250676,9.325504,8.759746,3
0.086809,0.151782,0.157831,5.291379,7.456106,0.581494,1.022258,3.185626,9.526546,8.996884,3
0.075305,0.148276,0.163464,6.272070,45.573657,0.242292,1.107580,2.198741,8.839102,8.580020,3
0.044998,0.194417,0.218738,100.000000,64.664624,0.315471,1.344238,100.000000,100.000000,100.000000,1
0.068814,0.213932,0.238187,99.076470,8.274671,0.498851,0.893697,96.810842,104.135165,109.263233,1
0.002486,0.181286,0.191321,98.208110,7.562649,0.113003,0.803577,102.995981,122.631305,135.234420,1
0.073068,0.188992,0.201761,84.608425,7.228790,0.202639,0.806038,154.997439,159.146544,162.118162,1
0.226695,0.195289,0.187410,87.048860,7.129019,0.265428,0.798019,151.404300,175.640485,189.265392,1
0.193877,0.178712,0.129143,95.955470,7.144016,0.216359,0.770608,87.853534,190.059061,238.896128,1
0.200648,0.187330,0.523370,97.150245,7.129110,0.812157,0.769450,89.508752,211.730694,268.335737,1
0.225706,0.202939,0.208170,101.653191,6.957417,0.655277,0.779014,77.788114,214.742809,275.001080,1
0.217111,0.201624,0.189528,101.456336,6.986015,0.548089,0.770269,69.685823,223.349016,288.274020,1
0.211059,0.192262,0.207553,101.475810,7.242902,0.851861,0.774521,78.211298,240.816780,310.122038,1
0.165596,0.169488,0.232434,98.645426,7.400275,0.685006,0.774825,62.885055,240.376098,312.291675,1
0.217078,0.197502,0.302795,100.450851,7.414544,0.565281,0.830348,65.078363,233.065110,302.190605,1
0.192125,0.188515,0.213095,99.913764,7.436915,0.638576,0.820594,86.342361,239.207469,305.946620,1
